Attribute,Value
Symbol,SRE
Name,DBA Sempra
Industry,Utilities - Diversified
Sector,Utilities
Country,United States
Market Cap,50614910976
Description,"Sempra operates as an energy infrastructure company in the United States and internationally. It operates through three segments: Sempra California, Sempra Texas Utilities, and Sempra Infrastructure. The Sempra California segment provides natural gas and electric services to Southern California and part of central California. As of December 31, 2024, it offered electric services to approximately 3.6 million population and natural gas services to approximately 3.3 million population that covers 4,100 square miles. This segment owns and operates a natural gas distribution, transmission, and storage system that supplies natural gas. As of December 31, 2024, it served a population of 21.1 million covering an area of 24,000 square miles. The Sempra Texas Utilities segment engages in the regulated electricity transmission and distribution business. As of December 31, 2024, its transmission system included 18,324 circuit miles of transmission lines; 1,288 transmission and distribution substations; interconnection to 192 third-party generation facilities totaling 58,597 MW; and distribution system included approximately 4 million points of delivery and consisted of 125,975 miles of overhead and underground lines. The Sempra Infrastructure segment develops, builds, operates, and invests in energy infrastructure to help enable the access to cleaner energy in markets in the United States, Mexico, and internationally. The company was formerly known as Sempra Energy and changed its name to Sempra in May 2023. Sempra was incorporated in 1996 and is based in San Diego, California."
Website,https://www.sempra.com
Full Time Employees,16773
Currency,USD
Previous Close,76.47
Open,76.67
Bid,77.37
Ask,79.0
Day's Range,76.01 - 77.675
52 Week Range,61.9 - 95.77
Volume,3305944
Avg. Volume,5517347
Market Cap (intraday),50614910976
Beta (5Y Monthly),0.642
PE Ratio (TTM),17.057142
EPS (TTM),4.55
Earnings Date,1746705600
Forward Dividend & Yield,2.58 (3.32)
Ex-Dividend Date,1750896000
1y Target Est,80.87062
