Attribute,Value
Symbol,CINF
Name,Cincinnati Financial Corporatio
Industry,Insurance - Property & Casualty
Sector,Financial Services
Country,United States
Market Cap,23580020736
Description,"Cincinnati Financial Corporation provides property casualty insurance products in the United States. The company operates through five segments: Commercial Lines Insurance, Personal Lines Insurance, Excess and Surplus Lines Insurance, Life Insurance, and Investments. The Commercial Lines Insurance segment offers coverage for commercial casualty and property, commercial auto, and workers' compensation. This segment also provides contract and commercial surety bonds, and fidelity bonds; management liability; and machinery and equipment insurance products. The Personal Lines Insurance segment offers personal auto; homeowner; and other personal lines insurance, such as dwelling fire, inland marine, personal umbrella liability, and watercraft coverages. The Excess and Surplus Lines Insurance segment offers commercial casualty insurance that covers businesses for third-party liability from accidents occurring on their premises or arising out of their operations, such as injuries sustained from products, as well as other coverages comprising miscellaneous errors and omissions, professional liability, and excess liability; and commercial property insurance, which insures buildings, inventory, equipment, and business income from loss or damage due to various causes, such as fire, wind, hail, water, theft, and vandalism. The Life Insurance segment provides term life insurance; universal life insurance; and worksite and whole life insurance products, as well as annuities. The Investments segment invests in fixed-maturity investments, including taxable and tax-exempt bonds, and redeemable preferred stocks; and equity investments comprising common and nonredeemable preferred stocks. The company also offers commercial leasing and financing services; and insurance brokerage services. Cincinnati Financial Corporation was founded in 1950 and is headquartered in Fairfield, Ohio."
Website,https://www.cinfin.com
Full Time Employees,5624
Currency,USD
Previous Close,149.3
Open,149.3
Bid,150.62
Ask,151.05
Day's Range,148.82 - 150.89
52 Week Range,111.92 - 161.75
Volume,550401
Avg. Volume,796558
Market Cap (intraday),23580020736
Beta (5Y Monthly),0.739
PE Ratio (TTM),16.41567
EPS (TTM),9.19
Earnings Date,1745870709
Forward Dividend & Yield,3.48 (2.31)
Ex-Dividend Date,1750636800
1y Target Est,152.0
