Attribute,Value
Symbol,CRL
Name,Charles River Laboratories Inte
Industry,Diagnostics & Research
Sector,Healthcare
Country,United States
Market Cap,6923840512
Description,"Charles River Laboratories International, Inc. provides drug discovery, non-clinical development, and safety testing services in the United States, Europe, Canada, the Asia Pacific, and internationally. It operates through three segments: Research Models and Services (RMS), Discovery and Safety Assessment (DSA), and Manufacturing Solutions (Manufacturing). The RMS segment produces and sells rodents, and purpose-bred rats and mice for use by researchers. This segment also provides a range of services to assist its clients in supporting the use of research models in research and screening pre-clinical drug candidates, including research models, genetically engineered models and services, insourcing solutions, and research animal diagnostic services. The DSA segment offers early and in vivo discovery services for the identification and validation of novel targets, chemical compounds, and antibodies through delivery of preclinical drug and therapeutic candidates ready for safety assessment; and safety assessment services, such as toxicology, pathology, safety pharmacology, bioanalysis, drug metabolism, and pharmacokinetics services. The Manufacturing segment provides in vitro methods for conventional and rapid quality control testing of sterile and non-sterile pharmaceuticals and consumer products. This segment offers specialized testing of biologics that are outsourced by pharmaceutical and biotechnology companies. It utilizes Logica, a platform offering from Valo Health, to identify advanceable small molecule leads. It provides contract vivarium operation services to biopharmaceutical clients. The company was founded in 1947 and is headquartered in Wilmington, Massachusetts."
Website,https://www.criver.com
Full Time Employees,18700
Currency,USD
Previous Close,138.89
Open,138.99
Bid,132.48
Ask,148.68
Day's Range,137.6841 - 142.6
52 Week Range,91.86 - 254.15
Volume,1456971
Avg. Volume,1819476
Market Cap (intraday),6923840512
Beta (5Y Monthly),1.502
PE Ratio (TTM),
EPS (TTM),-0.61
Earnings Date,1746615660
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,159.27779
