Attribute,Value
Symbol,LHX
Name,"L3Harris Technologies, Inc."
Industry,Aerospace & Defense
Sector,Industrials
Country,United States
Market Cap,43034968064
Description,"L3Harris Technologies, Inc. provides mission-critical solutions for government and commercial customers worldwide. It operates through Space & Airborne Systems (SAS), Integrated Mission Systems (IMS), Communication Systems (CS), and Aerojet Rocketdyne (AR) segments. The SAS segment provides satellite space payloads, sensors, and full-mission solutions; classified intelligence and cyber; airborne combat systems; and mission networks for air traffic management operations. The IMS segment offers intelligence, surveillance, and reconnaissance (ISR) systems; passive sensing and targeting; electronic attack platforms; autonomy; power and communications; networks; and sensors. The CS segment provides tactical radios, software, waveforms, satellite terminals, and end-to-end battlefield systems for the U.S. Department of Defense, international, federal, and state agency customers; broadband communications; integrated vision solutions, including helmet-mounted integrated night vision goggles with image intensifier tubes and weapon-mounted sights, aiming lasers, and range finders; and public safety radios, and system applications and equipment. The AR segment offers propulsion technologies and armament systems for strategic defense, missile defense, hypersonic, and tactical systems; and space propulsion and power systems for national security space and exploration missions. The company was formerly known as Harris Corporation and changed its name to L3Harris Technologies, Inc. in June 2019. L3Harris Technologies, Inc. was founded in 1895 and is based in Melbourne, Florida."
Website,https://www.l3harris.com
Full Time Employees,47000
Currency,USD
Previous Close,226.86
Open,228.11
Bid,225.0
Ask,235.36
Day's Range,226.47 - 230.47
52 Week Range,193.09 - 265.74
Volume,1576665
Avg. Volume,1459909
Market Cap (intraday),43034968064
Beta (5Y Monthly),0.717
PE Ratio (TTM),27.307234
EPS (TTM),8.43
Earnings Date,1745492100
Forward Dividend & Yield,4.8 (2.09)
Ex-Dividend Date,1748908800
1y Target Est,257.025
