Attribute,Value
Symbol,SNPS
Name,"Synopsys, Inc."
Industry,Software - Infrastructure
Sector,Technology
Country,United States
Market Cap,79541166080
Description,"Synopsys, Inc. provides electronic design automation software products used to design and test integrated circuits. It operates in two segments, Design Automation and Design IP. The company offers Digital and Custom IC Design solution that provides digital design implementation solutions; Verification solution that offers virtual prototyping, static and formal verification, simulation, emulation, field programmable gate array (FPGA)-based prototyping, and debug solutions; FPGA design products that are programmed to perform specific functions; synopsys technology computer-aided design (TCAD), mask synthesis, and manufacturing analytic solutions; and AI-driven EDA solutions. It also provides intellectual property (IP) solutions for UCIe, USB, PCI Express, DDR, Ethernet, MIPI, and HDMI; logic libraries and embedded memories; processor cores, software, and application-specific instruction-set processor tools for embedded applications; security IP solutions; IP solutions for automotive market; and system-on-chip (SoC) infrastructure IP, datapath and building block IP, and verification IP products, as well as mathematical and floating-point components, and Arm AMBA interconnect fabric and peripherals. The company was incorporated in 1986 and is headquartered in Sunnyvale, California."
Website,https://www.synopsys.com
Full Time Employees,20000
Currency,USD
Previous Close,514.48
Open,514.47
Bid,470.1
Ask,553.14
Day's Range,509.74 - 516.595
52 Week Range,365.74 - 624.8
Volume,946577
Avg. Volume,1353411
Market Cap (intraday),79541166080
Beta (5Y Monthly),1.163
PE Ratio (TTM),61.7563
EPS (TTM),8.33
Earnings Date,1748462400
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,595.2113
