Attribute,Value
Symbol,MRNA
Name,"Moderna, Inc."
Industry,Biotechnology
Sector,Healthcare
Country,United States
Market Cap,9614406656
Description,"Moderna, Inc., a biotechnology company, provides messenger RNA medicines in the United States, Europe, and internationally. The company's respiratory vaccines include spikevax, mRESVIA, COVID, RSV, seasonal influenza, combination, and pandemic influenza vaccine; latent vaccines comprise cytomegalovirus, epstein-barr virus, herpes simplex virus, varicella zoster virus, and human immunodeficiency virus vaccines; enteric viruses include norovirus; public health vaccines consist of Zika, Nipah, and Mpox vaccines; and bacterial diseases vaccines, such as lyme vaccines. It also provides oncology therapeutics, such as individualized neoantigen and checkpoint adaptive immune modulation therapy; and rare disease products, including propionic and methylmalonic acidemia, glycogen storage disease type 1a, ornithine transcarbamylase deficiency, phenylketonuria, crigler-najjar syndrome type 1, and cystic fibrosis. It has strategic alliances and collaborations with AstraZeneca; Merck & Co., Inc; Vertex Pharmaceuticals Incorporated; Vertex Pharmaceuticals (Europe) Limited; Generation Bio Co.; immatics N.V.; Life Edit Therapeutics; Carisma Therapeutics, Inc.; CytomX Therapeutics; Defense Advanced Research Projects Agency; Biomedical Advanced Research and Development Authority; Institute for Life Changing Medicines; The Bill & Melinda Gates Foundation; and OpenAI. The company was formerly known as Moderna Therapeutics, Inc. and changed its name to Moderna, Inc. in August 2018. Moderna, Inc. was founded in 2010 and is headquartered in Cambridge, Massachusetts."
Website,https://www.modernatx.com
Full Time Employees,5800
Currency,USD
Previous Close,23.65
Open,23.84
Bid,24.8
Ask,24.91
Day's Range,23.67 - 25.44
52 Week Range,23.15 - 170.47
Volume,14817887
Avg. Volume,10257288
Market Cap (intraday),9614406656
Beta (5Y Monthly),1.997
PE Ratio (TTM),
EPS (TTM),-8.73
Earnings Date,1746102600
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,46.65739
