Attribute,Value
Symbol,F
Name,Ford Motor Company
Industry,Auto Manufacturers
Sector,Consumer Cyclical
Country,United States
Market Cap,42946740224
Description,"Ford Motor Company develops, delivers, and services Ford trucks, sport utility vehicles, commercial vans and cars, and Lincoln luxury vehicles worldwide. It operates through Ford Blue, Ford Model e, Ford Pro, and Ford Credit segments. The company sells Ford and Lincoln internal combustion engine and hybrid vehicles, electric vehicles, service parts, accessories, and digital services for retail customers, as well as develops software. It also sells Ford and Lincoln vehicles, service parts, and accessories through distributors and dealers, as well as through dealerships to commercial fleet customers, daily rental car companies, and governments. In addition, it engages in the vehicle-related financing and leasing activities to and through automotive dealers. Further, the company provides retail installment sale contracts for new and used vehicles; and direct financing leases for new vehicles to retail and commercial customers, such as leasing companies, government entities, daily rental companies, and fleet customers. Additionally, it offers wholesale loans to dealers to finance the purchase of vehicle inventory; and loans to dealers to finance working capital and enhance dealership facilities, purchase dealership real estate, and other dealer vehicle programs. The company was incorporated in 1903 and is based in Dearborn, Michigan."
Website,https://www.ford.com
Full Time Employees,170000
Currency,USD
Previous Close,10.75
Open,10.77
Bid,10.69
Ask,10.79
Day's Range,10.64 - 10.81
52 Week Range,8.44 - 14.85
Volume,57640260
Avg. Volume,126504644
Market Cap (intraday),42946740224
Beta (5Y Monthly),1.547
PE Ratio (TTM),8.64
EPS (TTM),1.25
Earnings Date,1746475500
Forward Dividend & Yield,0.75 (6.94)
Ex-Dividend Date,1747008000
1y Target Est,9.94696
