Attribute,Value
Symbol,WYNN
Name,"Wynn Resorts, Limited"
Industry,Resorts & Casinos
Sector,Consumer Cyclical
Country,United States
Market Cap,10116644864
Description,"Wynn Resorts, Limited designs, develops, and operates integrated resorts. It operates through four segments: Wynn Palace, Wynn Macau, Las Vegas Operations, and Encore Boston Harbor. The Wynn Palace segment operates private gaming salons and sky casinos; a luxury hotel tower with suites, and villas, including a health club, spa, salon, and pool; food and beverage outlets; retail space; meeting and convention space; and performance lake and floral displays. The Wynn Macau segment operates casino space with private gaming salons, sky casinos, and a poker room; a luxury hotel tower, that include health clubs, spas, a salon, and a pool; food and beverage outlets; retail space; meeting and convention space; and Chinese zodiac-inspired ceiling attractions. The Las Vegas Operations segment operates casino space with private gaming salons, a sky casino, a poker room, and a race and sports book; a luxury hotel tower with suites, and villas, including swimming pools, private cabanas, full-service spas and salons, and a wedding chapel; food and beverage outlets; meeting and convention space; retail space; and theaters, nightclubs, a beach club. The Encore Boston Harbor segment operates casino space with gaming areas, and a poker room; a luxury hotel tower including a spa and salon; food and beverage outlets and a nightclub; retail space; meeting and convention space; and a waterfront park, floral displays, and water shuttle service. Wynn Resorts, Limited was incorporated in 2002 and is based in Las Vegas, Nevada."
Website,https://www.wynnresorts.com
Full Time Employees,28000
Currency,USD
Previous Close,97.5
Open,97.82
Bid,96.61
Ask,96.93
Day's Range,96.43 - 97.82
52 Week Range,65.25 - 107.81
Volume,2145186
Avg. Volume,2655341
Market Cap (intraday),10116644864
Beta (5Y Monthly),1.325
PE Ratio (TTM),25.871658
EPS (TTM),3.74
Earnings Date,1746561720
Forward Dividend & Yield,1.0 (1.03)
Ex-Dividend Date,1747353600
1y Target Est,105.73625
