Attribute,Value
Symbol,PLTR
Name,Palantir Technologies Inc.
Industry,Software - Infrastructure
Sector,Technology
Country,United States
Market Cap,305655545856
Description,"Palantir Technologies Inc. builds and deploys software platforms for the intelligence community to assist in counterterrorism investigations and operations in the United States, the United Kingdom, and internationally. It provides Palantir Gotham, a software platform, which enables users to identify patterns hidden deep within datasets, ranging from signals intelligence sources to reports from confidential informants, as well as facilitates the hand-off between analysts and operational users, helping operators plan and execute real-world responses to threats that have been identified within the platform. The company also offers Palantir Foundry, a platform that transforms the ways organizations operate by creating a central operating system for their data; and allows individual users to integrate and analyze the data they need in one place. In addition, it provides Palantir Apollo, a software that delivers software and updates across the business, as well as enables customers to deploy their software virtually in any environment; and Palantir Artificial Intelligence Platform that provides unified access to open-source, self-hosted, and commercial large language models (LLMs) that can transform structured and unstructured data into LLM-understandable objects and can turn organizations' actions and processes into tools for humans and LLM-driven agents. The company was incorporated in 2003 and is headquartered in Denver, Colorado."
Website,https://www.palantir.com
Full Time Employees,4001
Currency,USD
Previous Close,128.12
Open,129.225
Bid,119.14
Ask,129.56
Day's Range,126.76 - 130.33
52 Week Range,20.63 - 133.49
Volume,54895053
Avg. Volume,112940896
Market Cap (intraday),305655545856
Beta (5Y Monthly),2.684
PE Ratio (TTM),563.13043
EPS (TTM),0.23
Earnings Date,1746475500
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,95.91478
