Attribute,Value
Symbol,EOG
Name,"EOG Resources, Inc."
Industry,Oil & Gas E&P
Sector,Energy
Country,United States
Market Cap,63038398464
Description,"EOG Resources, Inc., together with its subsidiaries, explores for, develops, produces, and markets crude oil, natural gas liquids, and natural gas in producing basins in the United States, the Republic of Trinidad and Tobago, and internationally. The company was formerly known as Enron Oil & Gas Company. EOG Resources, Inc. was incorporated in 1985 and is headquartered in Houston, Texas."
Website,https://www.eogresources.com
Full Time Employees,3150
Currency,USD
Previous Close,115.86
Open,116.51
Bid,115.4
Ask,115.4
Day's Range,114.87 - 116.71
52 Week Range,102.52 - 138.18
Volume,3405818
Avg. Volume,4188087
Market Cap (intraday),63038398464
Beta (5Y Monthly),0.795
PE Ratio (TTM),10.694445
EPS (TTM),10.8
Earnings Date,1746129600
Forward Dividend & Yield,3.9 (3.38)
Ex-Dividend Date,1752710400
1y Target Est,135.23323
