Attribute,Value
Symbol,WELL
Name,Welltower Inc.
Industry,REIT - Healthcare Facilities
Sector,Real Estate
Country,United States
Market Cap,97255743488
Description,"Welltower Inc. (NYSE: WELL) an S&P 500 company, is the world's preeminent residential wellness and healthcare infrastructure company. Our portfolio of 1,500+ Seniors and Wellness Housing communities is positioned at the intersection of housing, healthcare, and hospitality, creating vibrant communities for mature renters and older adults in the United States, United Kingdom, and Canada. We also seek to support physicians in our Outpatient Medical buildings with the critical infrastructure needed to deliver quality care. Our real estate portfolio is unmatched, located in highly attractive micro-markets with stunning built environments. Yet, we are an unusual real estate organization as we view ourselves as a product company in a real estate wrapper driven by relationships and unconventional culture. Through our disciplined approach to capital allocation powered by our data science platform and superior operating results driven by the Welltower Business System, we aspire to deliver long-term compounding of per share growth and returns for our existing investors  our North Star."
Website,https://www.welltower.com
Full Time Employees,685
Currency,USD
Previous Close,146.89
Open,147.28
Bid,145.95
Ask,149.82
Day's Range,146.5 - 148.72
52 Week Range,99.77 - 158.55
Volume,1798333
Avg. Volume,3236115
Market Cap (intraday),97255743488
Beta (5Y Monthly),0.926
PE Ratio (TTM),84.98286
EPS (TTM),1.75
Earnings Date,1745870718
Forward Dividend & Yield,2.68 (1.8)
Ex-Dividend Date,1747180800
1y Target Est,166.35
