Attribute,Value
Symbol,ADI
Name,"Analog Devices, Inc."
Industry,Semiconductors
Sector,Technology
Country,United States
Market Cap,112641105920
Description,"Analog Devices, Inc. engages in the design, manufacture, testing, and marketing of integrated circuits (ICs), software, and subsystems products in the United States, rest of North and South America, Europe, Japan, China, and rest of Asia. The company provides data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; power management and reference products for power conversion, driver monitoring, sequencing, and energy management applications in the automotive, communications, industrial, and consumer markets; and power ICs that include performance, integration, and software design simulation tools for accurate power supply designs. It also offers amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure; and micro-electro-mechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes for sense rotation, inertial measurement units to sense multiple degrees of freedom, and broadband switches for radio and instrument systems, as well as isolators. In addition, the company provides digital signal processing and system products for numeric calculations. It serves clients in the industrial, automotive, consumer, instrumentation, aerospace, defense and healthcare, and communications markets through a direct sales force, third-party distributors, and independent sales representatives, as well as online. The company was incorporated in 1965 and is headquartered in Wilmington, Massachusetts."
Website,https://www.analog.com
Full Time Employees,24000
Currency,USD
Previous Close,227.12
Open,227.74
Bid,214.77
Ask,239.57
Day's Range,225.525 - 227.8
52 Week Range,158.65 - 247.1
Volume,3596941
Avg. Volume,4482128
Market Cap (intraday),112641105920
Beta (5Y Monthly),0.985
PE Ratio (TTM),72.559105
EPS (TTM),3.13
Earnings Date,1747911600
Forward Dividend & Yield,3.96 (1.74)
Ex-Dividend Date,1741046400
1y Target Est,242.32172
