Attribute,Value
Symbol,APTV
Name,Aptiv PLC
Industry,Auto Parts
Sector,Consumer Cyclical
Country,Switzerland
Market Cap,14862249984
Description,"Aptiv PLC engages in design, manufacture, and sale of vehicle components in North America, Europe, the Middle East, Africa, the Asia Pacific, South America, and internationally. The company provides electrical, electronic, and safety technology solutions to the automotive and commercial vehicle markets. It operates through two segments, Signal and Power Solutions, and Advanced Safety and User Experience. The Signal and Power Solutions segment designs, manufactures, and assembles vehicle's electrical architecture, including engineered component products, connectors, wiring assemblies and harnesses, cable management products, electrical centers, and high voltage and safety distribution systems. The Advanced Safety and User Experience segment provides critical technologies and services for vehicle safety, security, comfort, and convenience, such as sensing and perception systems, electronic control units, multi-domain controllers, vehicle connectivity systems, cloud-native software platform, application software, autonomous driving technologies, and end-to-end DevOps tools. Aptiv PLC was incorporated in 2011 and is based in Schaffhausen, Switzerland."
Website,https://www.aptiv.com
Full Time Employees,141000
Currency,USD
Previous Close,68.1
Open,68.19
Bid,68.09
Ask,68.11
Day's Range,67.6 - 68.36
52 Week Range,47.19 - 85.35
Volume,1758028
Avg. Volume,3498406
Market Cap (intraday),14862249984
Beta (5Y Monthly),1.445
PE Ratio (TTM),11.153595
EPS (TTM),6.12
Earnings Date,1746096300
Forward Dividend & Yield,
Ex-Dividend Date,1580774400
1y Target Est,73.639
