Attribute,Value
Symbol,HRL
Name,Hormel Foods Corporation
Industry,Packaged Foods
Sector,Consumer Defensive
Country,United States
Market Cap,16788844544
Description,"Hormel Foods Corporation develops, processes, and distributes various meat, nuts, and other food products to foodservice, convenience store, and commercial customers in the United States and internationally. It operates through three segments: Retail, Foodservice, and International segments. The company provides various perishable products that include fresh meats, frozen items, refrigerated meal solutions, bacons, sausages, hams, and guacamoles; and shelf-stable products comprising canned luncheon meats, nut butters, snack nuts, chili, shelf-stable microwaveable meals, hash, stews, tortillas, salsas, tortilla chips, nutritional food supplements, and others. It sells its products under the HORMEL, ALWAYS TENDER, APPLEGATE, AUSTIN BLUES, BACON 1, BLACK LABEL, BREAD READY, BURKE, CAFÉ H, CERATTI, CHI-CHI'S, COLUMBUS, COMPLEATS, CORN NUTS, CURE 81, DAN'S PRIZE, DI LUSSO, DINTY MOORE, DON MIGUEL, DOÑA MARIA, EMBASA, FAST N EASY, FIRE BRAISED, FONTANINI, HERDEZ, HORMEL GATHERINGS, HOUSE OF TSANG, JENNIE-O, JUSTIN'S, LA VICTORIA, LAYOUT, LLOYD'S, MARY KITCHEN, MR. PEANUT, NATURAL CHOICE, NUT-RITION, OLD SMOKEHOUSE, OVEN READY, PILLOW PACK, PLANTERS, ROSA GRANDE, SADLER'S SMOKEHOUSE, SKIPPY, SPAM, SQUARE TABLE, SPECIAL RECIPE, VALLEY FRESH, and WHOLLY brands through sales personnel, independent brokers, and distributors. The company was formerly known as Geo. A. Hormel & Company and changed its name to Hormel Foods Corporation in January 1995. Hormel Foods Corporation was founded in 1891 and is headquartered in Austin, Minnesota."
Website,https://www.hormelfoods.com
Full Time Employees,20000
Currency,USD
Previous Close,30.16
Open,30.13
Bid,30.03
Ask,30.47
Day's Range,30.02 - 30.55
52 Week Range,27.59 - 36.86
Volume,3067882
Avg. Volume,3120225
Market Cap (intraday),16788844544
Beta (5Y Monthly),0.339
PE Ratio (TTM),22.12319
EPS (TTM),1.38
Earnings Date,1748521800
Forward Dividend & Yield,1.16 (3.8)
Ex-Dividend Date,1744588800
1y Target Est,32.023
