Attribute,Value
Symbol,FANG
Name,"Diamondback Energy, Inc."
Industry,Oil & Gas E&P
Sector,Energy
Country,United States
Market Cap,41233670144
Description,"Diamondback Energy, Inc., an independent oil and natural gas company, acquires, develops, explores, and exploits unconventional, onshore oil and natural gas reserves in the Permian Basin in West Texas. It focuses on the development of the Spraberry and Wolfcamp formations of the Midland basin; and the Wolfcamp and Bone Spring formations of the Delaware basin, which are part of the Permian Basin in West Texas and New Mexico. Diamondback Energy, Inc. was founded in 2007 and is headquartered in Midland, Texas."
Website,https://www.diamondbackenergy.com
Full Time Employees,1983
Currency,USD
Previous Close,141.95
Open,142.77
Bid,134.85
Ask,148.05
Day's Range,139.22 - 142.77
52 Week Range,114.0 - 214.5
Volume,2276747
Avg. Volume,2864603
Market Cap (intraday),41233670144
Beta (5Y Monthly),1.035
PE Ratio (TTM),8.782204
EPS (TTM),16.07
Earnings Date,1746475275
Forward Dividend & Yield,5.24 (3.71)
Ex-Dividend Date,1747267200
1y Target Est,181.737
