Attribute,Value
Symbol,CNC
Name,Centene Corporation
Industry,Healthcare Plans
Sector,Healthcare
Country,United States
Market Cap,30741913600
Description,"Centene Corporation operates as a healthcare enterprise that provides programs and services to under-insured and uninsured families, and commercial organizations in the United States. The company operates through four segments: Medicaid, Medicare, Commercial, and Other. The Medicaid segment offers the temporary assistance for needy families; medicaid expansion; aged, blind, or disabled; and children's health insurance programs, as well as long-term services and supports; foster care; and medicare-medicaid plans. This segment also provides healthcare products and services. The Medicare segment offers special needs and medicare supplement, and prescription drug plans. The Commercial segment provides health insurance marketplace product for individual, small, and large group commercials. The Other segment operates clinical healthcare and pharmacies, as well as offers vision and dental, behavioral health, federal, and corporate management services. It provides services through primary and specialty care physicians, hospitals, behavioral health practitioners, and ancillary providers. The company was founded in 1984 and is headquartered in Saint Louis, Missouri."
Website,https://www.centene.com
Full Time Employees,60400
Currency,USD
Previous Close,60.06
Open,60.27
Bid,60.01
Ask,61.74
Day's Range,59.865 - 61.8
52 Week Range,55.03 - 80.59
Volume,4309182
Avg. Volume,5036982
Market Cap (intraday),30741913600
Beta (5Y Monthly),0.481
PE Ratio (TTM),9.112094
EPS (TTM),6.78
Earnings Date,1745575204
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,78.15625
