Attribute,Value
Symbol,KEY
Name,KeyCorp
Industry,Banks - Regional
Sector,Financial Services
Country,United States
Market Cap,18225481728
Description,"KeyCorp operates as the holding company for KeyBank National Association that provides various retail and commercial banking products and services in the United States. It operates in two segments, Consumer Bank and Commercial Bank. The company offers various deposits and investment products; commercial leasing, investment management, consumer finance; personal finance and financial wellness, lending, student loan refinancing, mortgage and home equity, credit card, treasury, and business advisory; and wealth management and investment services for institutional, non-profit, and high-net-worth clients. It also provides lending, cash management, equipment financing, and commercial mortgage loans; and capital market products and services, such as syndicated finance, debt and equity underwriting, fixed income and equity sales and trading, derivatives, foreign exchange, mergers and acquisition, other advisory, and public finance to large corporate and institutional clients. In addition, the company offers personal and institutional trust custody services, personal financial and planning services, access to mutual funds, treasury services, and international banking services. Further, it provides community development financing, securities underwriting, brokerage, and investment banking services, as well as merchant services. The company was founded in 1849 and is headquartered in Cleveland, Ohio."
Website,https://www.key.com
Full Time Employees,16989
Currency,USD
Previous Close,16.48
Open,16.505
Bid,16.61
Ask,16.61
Day's Range,16.34 - 16.71
52 Week Range,12.73 - 20.04
Volume,14467340
Avg. Volume,15137768
Market Cap (intraday),18225481728
Beta (5Y Monthly),1.065
PE Ratio (TTM),
EPS (TTM),-0.19
Earnings Date,1753187400
Forward Dividend & Yield,0.82 (4.93)
Ex-Dividend Date,1748304000
1y Target Est,18.82381
