Attribute,Value
Symbol,HSIC
Name,"Henry Schein, Inc."
Industry,Medical Distribution
Sector,Healthcare
Country,United States
Market Cap,8769926144
Description,"Henry Schein, Inc. provides health care products and services to office-based dental and medical practitioners, and alternate sites of care worldwide. It operates through Global Distribution and Value-Added Services; Global Specialty Products; and Global Technology segments. The company offers dental merchandise, including infection-control products, handpieces, preventatives, impression materials, composites, anesthetics, teeth, dental implants, gypsum, acrylics, articulators, abrasives, and PPE products; dental equipment, such as dental chairs, delivery units and lights, digital dental laboratories, X-ray supplies and equipment, and high-tech and digital restoration equipment, as well as equipment repair; and branded and generic pharmaceuticals, vaccines, surgical products, diagnostic tests, and vitamins. It also provides financial services on a nonrecourse basis, education services for practitioners, consulting, and other services; and consumable merchandise under its own brand. In addition, the company manufactures, markets, and sells dental implant and biomaterial products; and endodontic, orthodontic and orthopedic products and other health care-related products and services. Further, it is involved in the development and distribution of practice management software, e-services, and other products to health care providers. The company serves customers in dental practices, laboratories, physician practices, and ambulatory surgery centers, as well as government, institutional health care clinics and other alternate care clinics. Henry Schein, Inc. was founded in 1932 and is headquartered in Melville, New York."
Website,https://www.henryschein.com
Full Time Employees,25000
Currency,USD
Previous Close,71.54
Open,71.58
Bid,65.44
Ask,77.11
Day's Range,70.7 - 72.11
52 Week Range,60.56 - 82.49
Volume,993173
Avg. Volume,1899957
Market Cap (intraday),8769926144
Beta (5Y Monthly),0.874
PE Ratio (TTM),22.445484
EPS (TTM),3.21
Earnings Date,1746439200
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,76.38857
