Attribute,Value
Symbol,VRTX
Name,Vertex Pharmaceuticals Incorpor
Industry,Biotechnology
Sector,Healthcare
Country,United States
Market Cap,112643997696
Description,"Vertex Pharmaceuticals Incorporated, a biotechnology company, engages in developing and commercializing therapies for treating cystic fibrosis (CF). It markets TRIKAFTA/KAFTRIO for people with CF with at least one F508del mutation for 2 years of age and older; ALYFTREK for the treatment for people with CF 6 years of age and older; SYMDEKO/SYMKEVI for treatment of patients with CF 6 years of age and older; ORKAMBI for CF patients 1 year or older; and KALYDECO for the treatment of patients with 1 month or older who have CF with ivacaftor. The company also develops CASGEVY for the treatment of sickle cell disease and transfusion-dependent beta thalassemia; JOURNAVX for the treatment of acute pain in adults; VX-522, a CFTR mRNA therapeutic designed to treat the underlying cause of CF, which is in Phase 1/2 clinical trial; inaxaplin for the treatment of APOL1-mediated kidney disease which is in single Phase 2; VX-880 and VX-264, treatment for Type 1 Diabetes; VX-670 for the treatment of myotonic dystrophy type 1; and VX-407, a small molecule corrector for the treatment of autosomal dominant polycystic kidney disease. Further, it sells the products to specialty pharmacy and specialty distributors in the United States, as well as retail pharmacies, hospitals, and clinics. Additionally, the company has collaborations with CRISPR Therapeutics AG.; Moderna, Inc.; and Entrada Therapeutics, Inc. Vertex Pharmaceuticals Incorporated was founded in 1989 and is headquartered in Boston, Massachusetts."
Website,https://www.vrtx.com
Full Time Employees,6100
Currency,USD
Previous Close,434.38
Open,435.3
Bid,413.5
Ask,452.25
Day's Range,429.94 - 438.95
52 Week Range,377.85 - 519.88
Volume,1378614
Avg. Volume,1718400
Market Cap (intraday),112643997696
Beta (5Y Monthly),0.513
PE Ratio (TTM),
EPS (TTM),-3.82
Earnings Date,1746475260
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,500.29785
