Attribute,Value
Symbol,EXPE
Name,"Expedia Group, Inc."
Industry,Travel Services
Sector,Consumer Cyclical
Country,United States
Market Cap,21185986560
Description,"Expedia Group, Inc. operates as an online travel company in the United States and internationally. The company operates through B2C, B2B, and trivago segments. The B2C segment includes Brand Expedia, a full-service online travel brand offers various travel products and services; Hotels.com for lodging accommodations; Vrbo, an online marketplace for the alternative accommodations; Orbitz, Travelocity, Wotif Group, ebookers, CheapTickets, Hotwire.com and CarRentals.com. The B2B segment provides various travel and non-travel companies including airlines, offline travel agents, online retailers, corporate travel management, and financial institutions who leverage its travel technology and tap into its diverse supply to augment their offerings and market Expedia Group rates and availabilities to its travelers. The trivago segment send referrals to online travel companies and travel service providers from hotel metasearch websites. In addition, the company provides brand advertising through online and offline channels, loyalty programs, mobile apps, and search engine marketing, as well as metasearch, social media, direct and personalized traveler communications on its websites, and through direct e-mail communication with its travelers. The company was formerly known as Expedia, Inc. and changed its name to Expedia Group, Inc. in March 2018. Expedia Group, Inc. was founded in 1996 and is headquartered in Seattle, Washington."
Website,https://www.expediagroup.com
Full Time Employees,16500
Currency,USD
Previous Close,166.21
Open,165.5
Bid,166.27
Ask,173.83
Day's Range,164.3 - 167.09
52 Week Range,107.25 - 207.73
Volume,1758407
Avg. Volume,2431390
Market Cap (intraday),21185986560
Beta (5Y Monthly),1.623
PE Ratio (TTM),19.887829
EPS (TTM),8.38
Earnings Date,1746734460
Forward Dividend & Yield,1.6 (0.96)
Ex-Dividend Date,1748476800
1y Target Est,188.83324
