Attribute,Value
Symbol,RTX
Name,RTX Corporation
Industry,Aerospace & Defense
Sector,Industrials
Country,United States
Market Cap,180994490368
Description,"RTX Corporation, an aerospace and defense company, provides systems and services for the commercial, military, and government customers in the United States and internationally. It operates through three segments: Collins Aerospace, Pratt & Whitney, and Raytheon. The Collins Aerospace Systems segment offers aerospace and defense products, and aftermarket service solutions for civil and military aircraft manufacturers and commercial airlines, as well as regional, business, and general aviation, defense, and commercial space operations. This segment also designs, produces, and supports cabin interior, including seating, oxygen systems, food and beverage preparation, storage and galley systems, and lavatory and wastewater management systems; battlespace, test and training range systems, crew escape systems, and simulation and training solutions; information management services; and aftermarket services that include spare parts, overhaul and repair, engineering and technical support, training and fleet management solutions, and asset and information management services. The Pratt & Whitney segment supplies aircraft engines for commercial, military, business jet, and general aviation customers; and produces, sells, and services military and commercial auxiliary power units. The Raytheon segment provides defensive and offensive threat detection, tracking, and mitigation capabilities for government, and commercial customers. The company was formerly known as Raytheon Technologies Corporation and changed its name to RTX Corporation in July 2023. RTX Corporation was incorporated in 1934 and is headquartered in Arlington, Virginia."
Website,https://www.rtx.com
Full Time Employees,185000
Currency,USD
Previous Close,135.52
Open,135.705
Bid,135.21
Ask,135.22
Day's Range,134.48 - 136.4
52 Week Range,99.07 - 136.4
Volume,4773688
Avg. Volume,5551852
Market Cap (intraday),180994490368
Beta (5Y Monthly),0.59
PE Ratio (TTM),39.7302
EPS (TTM),3.41
Earnings Date,1745319304
Forward Dividend & Yield,2.72 (2.01)
Ex-Dividend Date,1747958400
1y Target Est,138.01958
